[13/03/2020 18:39:02] --> GM: Kiyara [268480681], Target: [Heroic Lord], Action: [admin_kill_menu], Params: [] 
[13/03/2020 18:56:18] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:56:20] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 18:56:21] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:56:23] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:56:26] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:56:30] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:56:32] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 18:56:33] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:56:35] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:56:38] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:56:42] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:56:43] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 18:56:45] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:56:46] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:56:48] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_recall_char_menu], Params: [ LOUIS] 
[13/03/2020 18:57:04] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin2], Params: [] 
[13/03/2020 18:57:05] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin2], Params: [] 
[13/03/2020 18:57:09] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:57:11] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:57:14] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_setclass], Params: [] 
[13/03/2020 18:57:20] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_setclass], Params: [ 89] 
[13/03/2020 18:57:48] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin], Params: [] 
[13/03/2020 18:57:50] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin2], Params: [] 
[13/03/2020 18:57:56] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:57:59] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:58:05] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_add_exp_sp_to_character], Params: [] 
[13/03/2020 18:58:12] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_setlevel], Params: [ 79] 
[13/03/2020 18:58:15] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin], Params: [] 
[13/03/2020 18:58:18] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin2], Params: [] 
[13/03/2020 18:58:20] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:58:22] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:58:23] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:58:29] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_changelvl], Params: [ 255] 
[13/03/2020 18:58:54] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin], Params: [] 
[13/03/2020 18:58:54] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin], Params: [] 
[13/03/2020 18:58:55] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_admin2], Params: [] 
[13/03/2020 18:58:58] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 18:59:02] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_character_info], Params: [ LOUIS] 
[13/03/2020 18:59:03] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_edit_character], Params: [] 
[13/03/2020 18:59:06] --> GM: Kiyara [268480681], Target: [LOUIS], Action: [admin_changelvl], Params: [ 1] 
[13/03/2020 18:59:23] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:59:26] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 18:59:31] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_char_manage], Params: [] 
